Ref,Val,Package,PosX,PosY,Rot,Side
"C9","100nF","C_0603_1608Metric",119.120000,-95.025000,-90.000000,bottom
"C10","100nF","C_0603_1608Metric",120.880000,-95.025000,-90.000000,bottom
"C11","100nF","C_0603_1608Metric",119.870000,-92.525000,0.000000,bottom
"C22","10n","C_0603_1608Metric",122.630000,-95.025000,-90.000000,bottom
"C23","1u","C_0603_1608Metric",124.380000,-95.025000,-90.000000,bottom
"H5","HPR_Logo","HPR_Logo",115.500000,-75.250000,180.000000,bottom
"L2","10u","L_0805_2012Metric",117.120000,-93.525000,90.000000,bottom
"U5","RFM95W-915S2","HOPERF_RFM9XW_SMD",119.750000,-115.750000,0.000000,bottom
